Địa điểm quan trắc;Triều;Ký hiệu;Tên viết tắt;Địa chỉ (tiếng Việt);Tên nơi lấy mẫu;Tên vị trí;Tên vị trí mẫu lặp;Tên vị trí mẫu trắng hiện trường;Tên vị trí mẫu trắng vận chuyển;Tên vị trí mẫu trắng thiết bị
Nhị Thiên Đường;Triều Lên;HCM_NM_NTĐ;HCM_NM_NTĐ_L;Khu vực cầu Nhị Thiên Đường, phường Bình Đông;Nhị Thiên Đường - HCM_NM_NTĐ - Triều Lên;Nhị Thiên Đường - Triều Lên;Nhị Thiên Đường - Triều Lên (QC - Mẫu lặp hiện trường);Nhị Thiên Đường - Triều Lên (QC - Mẫu trắng hiện trường);Nhị Thiên Đường - Triều Lên (QC - Mẫu trắng vận chuyển);Nhị Thiên Đường - Triều Lên (QC - Mẫu trắng thiết bị)
Nhị Thiên Đường;Triều Xuống;HCM_NM_NTĐ;HCM_NM_NTĐ_X;Khu vực cầu Nhị Thiên Đường, phường Bình Đông;Nhị Thiên Đường - HCM_NM_NTĐ - Triều Xuống;Nhị Thiên Đường - Triều Xuống;Nhị Thiên Đường - Triều Xuống (QC - Mẫu lặp hiện trường);Nhị Thiên Đường - Triều Xuống (QC - Mẫu trắng hiện trường);Nhị Thiên Đường - Triều Xuống (QC - Mẫu trắng vận chuyển);Nhị Thiên Đường - Triều Xuống (QC - Mẫu trắng thiết bị)
Nước Đen;Triều Lên;HCM_NM_NĐ;HCM_NM_NĐ_L;Gần khu vực đường Tân Kỳ Tân Quý giao kênh Nước Đen;Nước Đen - HCM_NM_NĐ - Triều Lên;Nước Đen - Triều Lên;Nước Đen - Triều Lên (QC - Mẫu lặp hiện trường);Nước Đen - Triều Lên (QC - Mẫu trắng hiện trường);Nước Đen - Triều Lên (QC - Mẫu trắng vận chuyển);Nước Đen - Triều Lên (QC - Mẫu trắng thiết bị)
Nước Đen;Triều Xuống;HCM_NM_NĐ;HCM_NM_NĐ_X;Gần khu vực đường Tân Kỳ Tân Quý giao kênh Nước Đen;Nước Đen - HCM_NM_NĐ - Triều Xuống;Nước Đen - Triều Xuống;Nước Đen - Triều Xuống (QC - Mẫu lặp hiện trường);Nước Đen - Triều Xuống (QC - Mẫu trắng hiện trường);Nước Đen - Triều Xuống (QC - Mẫu trắng vận chuyển);Nước Đen - Triều Xuống (QC - Mẫu trắng thiết bị)
Nước Lên;Triều Lên;HCM_NM_NL;HCM_NM_NL_L;Khu vực cách cầu Nước Lên 20m về phía thượng nguồn;Nước Lên - HCM_NM_NL - Triều Lên;Nước Lên - Triều Lên;Nước Lên - Triều Lên (QC - Mẫu lặp hiện trường);Nước Lên - Triều Lên (QC - Mẫu trắng hiện trường);Nước Lên - Triều Lên (QC - Mẫu trắng vận chuyển);Nước Lên - Triều Lên (QC - Mẫu trắng thiết bị)
Nước Lên;Triều Xuống;HCM_NM_NL;HCM_NM_NL_X;Khu vực cách cầu Nước Lên 20m về phía thượng nguồn;Nước Lên - HCM_NM_NL - Triều Xuống;Nước Lên - Triều Xuống;Nước Lên - Triều Xuống (QC - Mẫu lặp hiện trường);Nước Lên - Triều Xuống (QC - Mẫu trắng hiện trường);Nước Lên - Triều Xuống (QC - Mẫu trắng vận chuyển);Nước Lên - Triều Xuống (QC - Mẫu trắng thiết bị)
Ông Buông;Triều Lên;HCM_NM_OB;HCM_NM_OB_L;Khu vực cầu Ông Buông, Phường Bình Tây;Ông Buông - HCM_NM_OB - Triều Lên;Ông Buông - Triều Lên;Ông Buông - Triều Lên (QC - Mẫu lặp hiện trường);Ông Buông - Triều Lên (QC - Mẫu trắng hiện trường);Ông Buông - Triều Lên (QC - Mẫu trắng vận chuyển);Ông Buông - Triều Lên (QC - Mẫu trắng thiết bị)
Ông Buông;Triều Xuống;HCM_NM_OB;HCM_NM_OB_X;Khu vực cầu Ông Buông, Phường Bình Tây;Ông Buông - HCM_NM_OB - Triều Xuống;Ông Buông - Triều Xuống;Ông Buông - Triều Xuống (QC - Mẫu lặp hiện trường);Ông Buông - Triều Xuống (QC - Mẫu trắng hiện trường);Ông Buông - Triều Xuống (QC - Mẫu trắng vận chuyển);Ông Buông - Triều Xuống (QC - Mẫu trắng thiết bị)
Ông Lớn;Triều Lên;HCM_NM_OL;HCM_NM_OL_L;Khu vực cầu Ông Lớn trên đường Nguyễn Văn Linh;Ông Lớn - HCM_NM_OL - Triều Lên;Ông Lớn - Triều Lên;Ông Lớn - Triều Lên (QC - Mẫu lặp hiện trường);Ông Lớn - Triều Lên (QC - Mẫu trắng hiện trường);Ông Lớn - Triều Lên (QC - Mẫu trắng vận chuyển);Ông Lớn - Triều Lên (QC - Mẫu trắng thiết bị)
Ông Lớn;Triều Xuống;HCM_NM_OL;HCM_NM_OL_X;Khu vực cầu Ông Lớn trên đường Nguyễn Văn Linh;Ông Lớn - HCM_NM_OL - Triều Xuống;Ông Lớn - Triều Xuống;Ông Lớn - Triều Xuống (QC - Mẫu lặp hiện trường);Ông Lớn - Triều Xuống (QC - Mẫu trắng hiện trường);Ông Lớn - Triều Xuống (QC - Mẫu trắng vận chuyển);Ông Lớn - Triều Xuống (QC - Mẫu trắng thiết bị)
